iter	Passed	Remaining
0	1	1143
1	3	1546
2	4	1631
3	5	1472
4	7	1436
5	8	1332
6	8	1274
7	9	1194
8	11	1231
9	12	1236
10	15	1382
11	17	1401
12	17	1364
13	19	1389
14	21	1383
15	22	1396
16	23	1375
17	26	1444
18	28	1456
19	29	1449
20	30	1425
21	32	1433
22	33	1410
23	34	1384
24	35	1396
25	37	1421
26	39	1412
27	39	1387
28	41	1386
29	42	1374
30	45	1430
31	46	1412
32	47	1400
33	49	1403
34	50	1386
35	51	1390
36	53	1391
37	54	1377
38	55	1362
39	56	1345
40	56	1328
41	57	1311
42	58	1301
43	60	1318
44	61	1309
45	62	1299
46	63	1284
47	64	1269
48	66	1281
49	67	1279
50	68	1275
51	69	1264
52	70	1252
53	70	1242
54	73	1255
55	74	1247
56	75	1243
57	76	1234
58	76	1226
59	78	1233
60	79	1226
61	80	1222
62	81	1214
63	82	1204
64	84	1216
65	85	1215
66	87	1213
67	88	1210
68	89	1204
69	91	1212
70	92	1206
71	93	1203
72	95	1206
73	97	1216
74	98	1217
75	99	1211
76	102	1223
77	103	1220
78	104	1220
79	106	1219
80	109	1237
81	110	1234
82	110	1222
83	111	1213
84	114	1229
85	116	1234
86	117	1231
87	118	1230
88	120	1235
89	121	1232
90	122	1227
91	124	1226
92	128	1250
93	130	1260
94	132	1266
95	134	1262
96	134	1256
97	138	1276
98	140	1280
99	141	1276
100	142	1270
101	144	1273
102	145	1270
103	148	1282
104	160	1370
105	165	1398
106	167	1396
107	168	1389
108	170	1392
109	171	1391
110	173	1386
111	173	1379
112	174	1372
113	176	1373
114	177	1368
115	179	1366
116	179	1357
117	180	1350
118	183	1356
119	184	1351
120	185	1346
121	185	1338
122	186	1330
123	188	1332
124	190	1332
125	191	1328
126	192	1320
127	192	1313
128	194	1312
129	195	1309
130	196	1304
131	197	1298
132	198	1292
133	198	1285
134	201	1289
135	202	1285
136	203	1280
137	204	1275
138	204	1268
139	207	1272
140	208	1268
141	208	1262
142	209	1257
143	210	1251
144	212	1250
145	213	1249
146	214	1245
147	215	1241
148	216	1235
149	218	1238
150	219	1234
151	220	1230
152	221	1225
153	222	1219
154	222	1214
155	225	1219
156	226	1215
157	227	1211
158	228	1206
159	228	1201
160	230	1201
161	232	1200
162	233	1197
163	234	1193
164	235	1189
165	237	1192
166	238	1190
167	239	1186
168	240	1181
169	240	1176
170	243	1178
171	244	1174
172	244	1171
173	245	1167
174	246	1163
175	249	1165
176	249	1161
177	250	1157
178	251	1153
179	252	1149
180	253	1145
181	255	1147
182	256	1143
183	256	1139
184	257	1136
185	258	1132
186	260	1133
187	261	1130
188	267	1148
189	270	1152
190	271	1149
191	290	1221
192	291	1218
193	293	1220
194	294	1216
195	295	1213
196	300	1226
197	302	1224
198	303	1220
199	304	1218
200	305	1216
201	307	1214
202	308	1211
203	312	1218
204	313	1217
205	315	1214
206	317	1217
207	320	1219
208	328	1241
209	335	1261
210	336	1258
211	339	1262
212	346	1279
213	347	1277
214	348	1272
215	349	1267
216	349	1262
217	350	1257
218	351	1254
219	352	1250
220	353	1245
221	354	1240
222	354	1236
223	355	1232
224	356	1227
225	358	1226
226	359	1223
227	360	1219
228	361	1215
229	362	1213
230	364	1212
231	368	1219
232	369	1216
233	373	1223
234	374	1219
235	375	1215
236	376	1211
237	376	1206
238	377	1203
239	379	1201
240	380	1198
241	383	1201
242	384	1198
243	385	1194
244	386	1192
245	390	1196
246	391	1194
247	393	1192
248	395	1193
249	397	1193
250	399	1190
251	404	1200
252	406	1199
253	407	1198
254	409	1197
255	411	1195
256	412	1193
257	417	1200
258	418	1197
259	419	1193
260	422	1196
261	424	1195
262	425	1192
263	429	1197
264	431	1195
265	432	1192
266	435	1194
267	436	1191
268	437	1187
269	437	1184
270	439	1181
271	442	1184
272	443	1180
273	444	1177
274	446	1176
275	447	1173
276	448	1170
277	449	1166
278	450	1163
279	452	1163
280	453	1161
281	455	1158
282	455	1155
283	457	1154
284	459	1151
285	460	1149
286	461	1146
287	464	1148
288	465	1145
289	466	1142
290	467	1139
291	469	1139
292	470	1136
293	471	1132
294	473	1131
295	474	1128
296	475	1126
297	476	1123
298	477	1119
299	480	1122
